# The shortest periodic index sequences for cube roots found using the
# brute-force search algorithm. The roots for $8$ and $27$ are omitted since
# they are perfect cubes.
$p(x)$	Pre-period	Period
$x^3 - 2$	1	0,1
$x^3 - 3$	0,1	0,1
$x^3 - 4$	0	0,1,0,0,1,1,0,0
$x^3 - 5$	0	0,0,1,1,1,0,0,0
$x^3 - 6$	0	0,0,1,1,1,0,0,0
$x^3 - 7$	0	0,1,0,1,0,0
$x^3 - 9$	0,1	0,1
$x^3 - 10$	0	1,1,0,0
$x^3 - 11$	0	1,1,0,0
$x^3 - 12$	1	0,1,1,1,0,1,1,1,0,1
$x^3 - 13$	0,0	0,1,0,0,0,0
$x^3 - 14$	0,1,0,1	0,1,0,1
$x^3 - 15$	0,0,1	0,0,1,0,0,1
$x^3 - 16$	0	0,1,0,0,1,0,0,1,0,1,0,1,0,0
$x^3 - 17$	0,0,0	1,1,1,1,0,0,0,0
$x^3 - 18$	0,0,0,0,0,1	0,0,0,0,0,1
$x^3 - 19$	0,0,1	1,1,0,0,0,1
$x^3 - 20$	0	0,1,1,0,0,1,0,0
$x^3 - 21$	0,0,0	1,1,0,0,1,0,0,0
$x^3 - 22$	0,0,1,0,0,1	0,0,1,0,0,1
$x^3 - 23$	0	0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0
$x^3 - 24$	0	0,0,1,0,1,1,0,0
$x^3 - 25$	1	0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
$x^3 - 26$	0,0,0	1,0,0,0
$x^3 - 28$	0,1	0,1
$x^3 - 29$	0,0	0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0
$x^3 - 30$	0	1,1,0,0
$x^3 - 31$	1,1,0,0	1,1,0,1,0,0
$x^3 - 32$	1	0,0,1,0,0,0,0,1,0,0,1,1,0,1
$x^3 - 33$	0,1	0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1
$x^3 - 34$	0,1	0,0,0,1,1,0,0,1,0,0,0,1
$x^3 - 35$	0,0	0,0,0,0,1,1,0,0,0,0,0,0
$x^3 - 36$	0,1,0,1	0,1,0,1
$x^3 - 37$	0,1,0,1	0,1,0,1,0,1
$x^3 - 38$	1,0,1,1,1,0	0,1,1,0,1,1,1,0,0,1,1,0
$x^3 - 39$	0,0	1,0,0,0,1,0,0,0
$x^3 - 40$	0,0,0	1,0,0,0,1,0,0,0
$x^3 - 41$
$x^3 - 42$	0,0,1	1,1,0,0,1,0,0,1
$x^3 - 43$	0,1,0,1,0	1,0,1,0
$x^3 - 44$	1,0,0,1,0,1,0,0	1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
$x^3 - 45$	0,0,1,0,1	0,1,0,0,0,1,0,1,0,1,0,0,0,1
$x^3 - 46$	1,0,1,1,0,0,0,0	1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
$x^3 - 47$	0	0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0
$x^3 - 48$	0,0,0,0,0	1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
$x^3 - 49$	0	1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0
$x^3 - 50$	0,0,0,0	0,1,1,0,0,0,0,0,0,1,1,0,0,0
$x^3 - 51$	0,0,0,0,0,1	1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
$x^3 - 52$	0,1,0,1,0,1,0,1,0,1	0,1,0,1,0,1,0,1,0,1
$x^3 - 53$
$x^3 - 54$	0,0,0	0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
$x^3 - 55$	0,1,0,1,0,1,0,1,0,1,0,1,0	1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
$x^3 - 56$	0,1,0,1,0,1,0	1,0,1,0,1,0,1,0,1,0
$x^3 - 57$	0,1,0,1	0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
$x^3 - 58$	0,1,0,1,0,1,0	1,0,1,0,1,0
$x^3 - 59$
$x^3 - 60$	0	0,1,0,0,0,1,0,0
$x^3 - 61$	0	0,1,0,0,0,1,0,0
$x^3 - 62$	0,1,0,1	0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
$x^3 - 63$	0,1,0,1	0,1,0,1,0,1
$x^3 - 64$
$x^3 - 65$	0,1	0,1
$x^3 - 66$	0,1	0,1,0,1,0,1
$x^3 - 67$	0,1	0,1,0,1,0,1
$x^3 - 68$	0,1	0,1,0,1,0,1
$x^3 - 69$
$x^3 - 70$	0,0,1,0,0,0	1,0,0,0,1,0,0,0,1,0,0,0
$x^3 - 71$	1,0,1,0,1,1,0,1,0	0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0
$x^3 - 72$	0,1	0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
$x^3 - 73$	0,0,0	0,0,1,0,0,1,1,0,0,0
$x^3 - 74$	0,0,1	1,1,0,0,1,0,1,0,0,1
$x^3 - 75$
$x^3 - 76$	0,1,0,1	0,1,0,1
$x^3 - 77$
$x^3 - 78$	0,0,1,0,0,1,1,0	0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
$x^3 - 79$	0	0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
$x^3 - 80$	0,0,0	1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
$x^3 - 81$	0,1	0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
$x^3 - 82$
$x^3 - 83$
$x^3 - 84$
$x^3 - 85$
$x^3 - 86$	0,1,0,1,0	1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
$x^3 - 87$
$x^3 - 88$	0,1,0,1,0,1,0,1,0	1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
$x^3 - 89$
$x^3 - 90$	0,0,0	0,0,1,1,0,0,0,0
$x^3 - 91$	0,1,0,1	0,1,0,1,0,1
$x^3 - 92$
$x^3 - 93$
$x^3 - 94$	0,0,0,1	0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
$x^3 - 95$
$x^3 - 96$
$x^3 - 97$
$x^3 - 98$
$x^3 - 99$
$x^3 - 100$
