Strategy	Polynomial	Period Length
JPA	2	1
JPA	3	1
JPA	5	5
JPA	7	5
JPA	9	1
JPA	10	5
JPA	12	21
JPA	14	3
JPA	16	17
JPA	17	121
JPA	18	17
JPA	26	5
JPA	28	1
JPA	30	5
JPA	31	25
JPA	36	3
JPA	37	5
JPA	43	3
JPA	52	9
JPA	55	19
JPA	56	9
JPA	58	5
JPA	62	17
JPA	63	5
JPA	65	1
JPA	66	5
JPA	67	5
JPA	68	5
JPA	72	21
JPA	76	3
JPA	86	29
JPA	88	21
JPA	91	5
JPA	124	5
JPA	126	1
JPA	128	5
JPA	130	5
JPA	140	3
JPA	148	49
JPA	153	21
JPA	166	17
JPA	182	77
JPA	204	25
JPA	207	5
JPA	213	17
JPA	214	17
JPA	215	5
JPA	217	1
JPA	218	5
JPA	219	5
JPA	222	5
JPA	231	13
JPA	234	3
JPA	248	17
JPA	252	7
JPA	254	5
JPA	275	11
JPA	296	53
JPA	340	17
JPA	342	5
JPA	344	1
JPA	346	5
JPA	350	5
JPA	364	3
JPA	422	3
JPA	464	17
JPA	500	5
JPA	506	17
JPA	508	17
JPA	509	17
JPA	510	17
JPA	511	5
JPA	513	1
JPA	514	5
JPA	515	5
JPA	516	5
JPA	518	5
JPA	520	5
JPA	536	3
JPA	560	7
JPA	614	5
JPA	726	17
JPA	728	5
JPA	730	1
JPA	732	5
JPA	738	5
JPA	756	3
JPA	794	17
JPA	812	21
JPA	813	5
JPA	857	17
JPA	965	19
JPA	985	5
JPA	994	33
JPA	995	17
JPA	996	17
JPA	997	17
JPA	998	17
JPA	999	5
