Strategy	Polynomial	Period Length
Min	2	1
Min	3	1
Min	5	5
Min	7	5
Min	9	1
Min	10	5
Min	12	21
Min	14	3
Min	16	17
Min	17	121
Min	18	17
Min	26	5
Min	28	1
Min	30	5
Min	31	25
Min	36	3
Min	37	5
Min	43	3
Min	52	9
Min	55	19
Min	56	9
Min	58	5
Min	62	17
Min	63	5
Min	65	1
Min	66	5
Min	67	5
Min	68	5
Min	72	21
Min	76	3
Min	86	29
Min	88	21
Min	91	5
Min	124	5
Min	126	1
Min	128	5
Min	130	5
Min	140	3
Min	148	49
Min	153	21
Min	166	17
Min	182	77
Min	204	25
Min	207	5
Min	213	17
Min	214	17
Min	215	5
Min	217	1
Min	218	5
Min	219	5
Min	222	5
Min	231	13
Min	234	3
Min	248	17
Min	252	7
Min	254	5
Min	275	11
Min	296	53
Min	340	17
Min	342	5
Min	344	1
Min	346	5
Min	350	5
Min	364	3
Min	422	3
Min	464	17
Min	500	5
Min	506	17
Min	508	17
Min	509	17
Min	510	17
Min	511	5
Min	513	1
Min	514	5
Min	515	5
Min	516	5
Min	518	5
Min	520	5
Min	536	3
Min	560	7
Min	614	5
Min	726	17
Min	728	5
Min	730	1
Min	732	5
Min	738	5
Min	756	3
Min	794	17
Min	812	21
Min	813	5
Min	857	17
Min	965	19
Min	985	5
Min	994	33
Min	995	17
Min	996	17
Min	997	17
Min	998	17
Min	999	5
