Strategy	Polynomial	Period Length
TY	2	1
TY	3	11
TY	4	9
TY	5	7
TY	6	61
TY	7	25
TY	9	15
TY	10	15
TY	11	27
TY	12	13
TY	13	13
TY	14	9
TY	15	11
TY	16	79
TY	17	7
TY	18	13
TY	19	5
TY	20	9
TY	21	9
TY	22	13
TY	23	31
TY	24	17
TY	25	33
TY	26	27
TY	28	19
TY	29	95
TY	30	13
TY	31	5
TY	32	59
TY	33	35
TY	34	25
TY	35	15
TY	36	9
TY	37	25
TY	38	13
TY	39	7
TY	40	11
TY	41	149
TY	42	21
TY	43	51
TY	44	17
TY	45	19
TY	46	23
TY	47	43
TY	48	63
TY	49	17
TY	50	23
TY	51	13
TY	52	13
TY	53	93
TY	54	17
TY	55	75
TY	56	17
TY	57	37
TY	58	17
TY	59	59
TY	60	17
TY	61	21
TY	62	81
TY	63	29
TY	65	15
TY	66	15
TY	67	21
TY	68	15
TY	69	119
TY	70	11
TY	71	45
TY	72	13
TY	73	25
TY	74	25
TY	75	87
TY	76	9
TY	77	129
TY	78	29
TY	79	61
TY	80	25
TY	81	55
TY	82	75
TY	83	81
TY	84	33
TY	85	49
TY	86	25
TY	87	99
TY	88	9
TY	89	105
TY	90	17
TY	91	33
TY	92	55
TY	93	61
TY	94	61
TY	95	69
TY	96	97
TY	97	55
TY	98	61
TY	99	121
TY	100	37
TY	101	109
TY	102	31
TY	103	47
TY	104	21
TY	105	23
TY	106	21
TY	107	241
TY	108	33
TY	109	25
TY	110	13
TY	111	129
TY	112	21
TY	113	47
TY	114	29
TY	115	33
TY	116	55
TY	117	13
TY	118	79
TY	119	101
TY	120	17
TY	121	169
TY	122	21
TY	123	179
TY	124	29
TY	126	17
TY	127	19
TY	128	17
TY	129	51
TY	130	13
TY	131	157
TY	132	53
TY	133	33
TY	134	105
TY	135	103
TY	136	45
TY	137	297
TY	138	43
TY	139	35
TY	140	9
TY	141	57
TY	142	41
TY	143	109
TY	144	43
TY	145	77
TY	146	93
TY	147	69
TY	148	41
TY	149	63
TY	150	37
TY	151	61
TY	152	69
TY	153	5
TY	154	49
TY	155	85
TY	156	47
TY	157	125
TY	158	73
TY	159	69
TY	160	63
TY	161	77
TY	162	17
TY	163	53
TY	164	17
TY	165	55
TY	166	21
TY	167	271
TY	168	5
TY	169	99
TY	170	31
TY	171	37
TY	172	27
TY	173	179
TY	174	41
TY	175	75
TY	176	75
TY	177	469
TY	178	93
TY	179	123
TY	180	15
TY	181	105
TY	182	49
TY	183	139
TY	184	63
TY	185	25
TY	186	17
TY	187	181
TY	188	239
TY	189	25
TY	190	169
TY	191	245
TY	192	73
TY	193	75
TY	194	71
TY	195	61
TY	196	43
TY	197	179
TY	198	13
TY	199	25
TY	200	27
TY	201	81
TY	202	225
TY	203	29
TY	204	17
TY	205	55
TY	206	49
TY	207	17
TY	208	27
TY	209	11
TY	210	17
TY	211	129
TY	212	21
TY	213	81
TY	214	89
TY	215	29
TY	217	15
TY	218	15
TY	219	15
TY	220	29
TY	221	107
TY	222	15
TY	223	97
TY	224	55
TY	225	11
TY	226	223
TY	227	283
TY	228	13
TY	229	17
TY	230	23
TY	231	21
TY	232	51
TY	233	89
TY	234	9
TY	235	93
TY	236	41
TY	237	135
TY	238	13
TY	239	539
